Experiment,Method,Run,mean,stdev
original,AnnSel,en,-4.147640306122449,4.917971995292087
original,AnnSel,fr,-3.714923469387755,5.045510632154666
original,AnnSel,de,-8.82616191007653,6.343650907366477
original,AnnSel,es,0.0,0.0
original,AnnSel,zh,-7.723373724489796,4.744809783704266
original,AnnSel,ja,-10.465825294961734,5.691144809087646
original,AnnSel,ko,-13.989997708067602,4.977608617425965
original,FreqSel,en,-4.147640306122449,4.917971995292087
original,FreqSel,fr,-3.714923469387755,5.045510632154666
original,FreqSel,de,-8.82616191007653,6.343650907366477
original,FreqSel,es,0.0,0.0
original,FreqSel,zh,-7.723373724489796,4.744809783704266
original,FreqSel,ja,-10.465825294961734,5.691144809087646
original,FreqSel,ko,-13.989997708067602,4.977608617425965
original,ValSel,en,-4.147640306122449,4.917971995292087
original,ValSel,fr,-3.714923469387755,5.045510632154666
original,ValSel,de,-8.82616191007653,6.343650907366477
original,ValSel,es,0.0,0.0
original,ValSel,zh,-7.723373724489796,4.744809783704266
original,ValSel,ja,-10.465825294961734,5.691144809087646
original,ValSel,ko,-13.989997708067602,4.977608617425965
distractor ablation,AnnSel,en,-4.146364795918367,4.919977383204916
distractor ablation,AnnSel,fr,-3.7130102040816326,5.048323481014957
distractor ablation,AnnSel,de,-8.82520527742347,6.34842098401787
distractor ablation,AnnSel,es,0.0,0.0
distractor ablation,AnnSel,zh,-7.725286989795919,4.742959040051751
distractor ablation,AnnSel,ja,-10.466781927614797,5.689411337190926
distractor ablation,AnnSel,ko,-13.991791394292092,4.973592708696361
distractor ablation,FreqSel,en,-4.271045918367347,4.994340336427388
distractor ablation,FreqSel,fr,-3.7971938775510203,5.095136790416418
distractor ablation,FreqSel,de,-8.924944196428571,6.415691272826354
distractor ablation,FreqSel,es,0.0,0.0
distractor ablation,FreqSel,zh,-7.895567602040816,4.722432443016606
distractor ablation,FreqSel,ja,-10.384247448979592,5.564756093796947
distractor ablation,FreqSel,ko,-14.069906429368622,5.040568413301687
distractor ablation,ValSel,en,-5.065489477040816,5.407251603967093
distractor ablation,ValSel,fr,-4.015186543367347,5.562177709276521
distractor ablation,ValSel,de,-9.539229412468112,6.7972459400623455
distractor ablation,ValSel,es,0.0,0.0
distractor ablation,ValSel,zh,-9.717374840561224,5.102740173352175
distractor ablation,ValSel,ja,-12.209160006776148,5.744487284604236
distractor ablation,ValSel,ko,-15.11300970583546,5.304690496697471
ablation,AnnSel,en,-4.035395408163265,4.848542976477236
ablation,AnnSel,fr,-3.5331632653061225,4.813716994348327
ablation,AnnSel,de,-8.788031130420919,6.277096134487525
ablation,AnnSel,es,0.0,0.0
ablation,AnnSel,zh,-7.791613520408164,4.635149545308469
ablation,AnnSel,ja,-10.589452626753827,5.597904004055183
ablation,AnnSel,ko,-14.095434072066327,4.864578588972464
ablation,FreqSel,en,-3.923469387755102,4.838271391287829
ablation,FreqSel,fr,-3.7582908163265305,5.063737401713299
ablation,FreqSel,de,-8.704540019132653,6.3426959007745385
ablation,FreqSel,es,0.0,0.0
ablation,FreqSel,zh,-7.550701530612245,4.649339439822153
ablation,FreqSel,ja,-10.11782525510204,5.487203502251906
ablation,FreqSel,ko,-13.915786431760203,4.880965026924409
ablation,ValSel,en,-3.7433035714285716,4.827334901404932
ablation,ValSel,fr,-3.661511479591837,5.052943833199736
ablation,ValSel,de,-8.622010522959183,6.35084337863127
ablation,ValSel,es,0.0,0.0
ablation,ValSel,zh,-7.391900510204081,4.645300096941431
ablation,ValSel,ja,-10.225506218112244,5.625077367774391
ablation,ValSel,ko,-13.673344826211734,4.87167437791971
distractor one-layer direction ablation,AnnSel,en,-4.150829081632653,4.917368560656834
distractor one-layer direction ablation,AnnSel,fr,-3.7138073979591835,5.04899859617253
distractor one-layer direction ablation,AnnSel,de,-8.839724170918368,6.336672370204098
distractor one-layer direction ablation,AnnSel,es,0.0,0.0
distractor one-layer direction ablation,AnnSel,zh,-7.70296556122449,4.645159125007801
distractor one-layer direction ablation,AnnSel,ja,-10.460541394292092,5.5951507260576285
distractor one-layer direction ablation,AnnSel,ko,-13.996288066007653,4.918297597434897
distractor one-layer direction ablation,FreqSel,en,-4.198660714285714,4.9613280779156215
distractor one-layer direction ablation,FreqSel,fr,-3.725127551020408,5.049090438432474
distractor one-layer direction ablation,FreqSel,de,-8.89128268494898,6.338916694661806
distractor one-layer direction ablation,FreqSel,es,0.0,0.0
distractor one-layer direction ablation,FreqSel,zh,-7.380420918367347,4.5898171929977565
distractor one-layer direction ablation,FreqSel,ja,-9.680305325255102,5.329372738196318
distractor one-layer direction ablation,FreqSel,ko,-13.44432597257653,5.087320602453279
distractor one-layer direction ablation,ValSel,en,-3.925163424744898,4.68801274778429
distractor one-layer direction ablation,ValSel,fr,-3.596161511479592,5.006154202089643
distractor one-layer direction ablation,ValSel,de,-8.590621014030612,6.062245590493071
distractor one-layer direction ablation,ValSel,es,0.0,0.0
distractor one-layer direction ablation,ValSel,zh,-6.422998545121174,4.185597153474891
distractor one-layer direction ablation,ValSel,ja,-8.726104113520408,4.920550721917544
distractor one-layer direction ablation,ValSel,ko,-12.079948580994898,4.755008786030635
one-layer direction ablation,AnnSel,en,-4.020408163265306,4.906195830929247
one-layer direction ablation,AnnSel,fr,-3.7534279336734695,5.207633001628611
one-layer direction ablation,AnnSel,de,-8.87922512755102,6.339914221291895
one-layer direction ablation,AnnSel,es,0.0,0.0
one-layer direction ablation,AnnSel,zh,-7.677933673469388,4.565798589060266
one-layer direction ablation,AnnSel,ja,-10.414949378188776,5.6131258964544815
one-layer direction ablation,AnnSel,ko,-13.812460140306122,5.028621733656827
one-layer direction ablation,FreqSel,en,-3.211615114795918,4.546004151852807
one-layer direction ablation,FreqSel,fr,-3.491191007653061,5.163468955905852
one-layer direction ablation,FreqSel,de,-8.487648477359693,6.293338340422193
one-layer direction ablation,FreqSel,es,0.0,0.0
one-layer direction ablation,FreqSel,zh,-3.695990114795918,4.221475702312997
one-layer direction ablation,FreqSel,ja,-6.381218112244898,5.334613559648201
one-layer direction ablation,FreqSel,ko,-10.11956413424745,5.02817354561667
one-layer direction ablation,ValSel,en,-3.8171237244897958,4.913419195484843
one-layer direction ablation,ValSel,fr,-3.9153778698979593,5.4073960473678735
one-layer direction ablation,ValSel,de,-9.378457828443878,6.759664380707515
one-layer direction ablation,ValSel,es,0.0,0.0
one-layer direction ablation,ValSel,zh,-5.09781568877551,4.666063423345291
one-layer direction ablation,ValSel,ja,-8.140302385602679,5.8855310331105875
one-layer direction ablation,ValSel,ko,-11.971158397441007,5.316869026188549
distractor multi-layer direction ablation,AnnSel,en,-0.5446909270724472,4.9937023285036535
distractor multi-layer direction ablation,AnnSel,fr,-2.8605955863485533,5.539461455670685
distractor multi-layer direction ablation,AnnSel,de,-7.861610124914014,6.853156723257055
distractor multi-layer direction ablation,AnnSel,es,0.0,0.0
distractor multi-layer direction ablation,AnnSel,zh,-9.628103059773542,5.164392266986814
distractor multi-layer direction ablation,AnnSel,ja,-10.85778416936495,5.449158132524778
distractor multi-layer direction ablation,AnnSel,ko,-14.994472489065053,5.514569999053822
distractor multi-layer direction ablation,FreqSel,en,-3.579077352370535,5.633596047133297
distractor multi-layer direction ablation,FreqSel,fr,-0.9666728818294953,5.332426549302491
distractor multi-layer direction ablation,FreqSel,de,-1.5025821601857945,5.223011846765928
distractor multi-layer direction ablation,FreqSel,es,0.0,0.0
distractor multi-layer direction ablation,FreqSel,zh,-5.769354820859675,4.43224759659186
distractor multi-layer direction ablation,FreqSel,ja,-5.807944280760629,4.390042639209295
distractor multi-layer direction ablation,FreqSel,ko,-4.570073736565454,3.9179494545106563
distractor multi-layer direction ablation,ValSel,en,-1.8375265951059303,4.274461534206506
distractor multi-layer direction ablation,ValSel,fr,-2.268558375689448,5.097928718850397
distractor multi-layer direction ablation,ValSel,de,-4.125519754631179,5.272597959742825
distractor multi-layer direction ablation,ValSel,es,0.0,0.0
distractor multi-layer direction ablation,ValSel,zh,-3.5806926750406927,5.014638910222248
distractor multi-layer direction ablation,ValSel,ja,-6.348377331179016,5.43482783006216
