Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.8893363402061856,5.082130666794712
original,AnnSel,fr,0.0,0.0
original,AnnSel,de,-6.772108569587629,7.060101822365527
original,AnnSel,es,-0.5161082474226805,4.756931776982803
original,AnnSel,zh,-10.503085736146907,4.906146149410106
original,AnnSel,ja,-12.299905364046392,5.429449218872237
original,AnnSel,ko,-14.451675257731958,6.2443212270659805
original,FreqSel,en,-2.8893363402061856,5.082130666794712
original,FreqSel,fr,0.0,0.0
original,FreqSel,de,-6.772108569587629,7.060101822365527
original,FreqSel,es,-0.5161082474226805,4.756931776982803
original,FreqSel,zh,-10.503085736146907,4.906146149410106
original,FreqSel,ja,-12.299905364046392,5.429449218872237
original,FreqSel,ko,-14.451675257731958,6.2443212270659805
original,ValSel,en,-2.8893363402061856,5.082130666794712
original,ValSel,fr,0.0,0.0
original,ValSel,de,-6.772108569587629,7.060101822365527
original,ValSel,es,-0.5161082474226805,4.756931776982803
original,ValSel,zh,-10.503085736146907,4.906146149410106
original,ValSel,ja,-12.299905364046392,5.429449218872237
original,ValSel,ko,-14.451675257731958,6.2443212270659805
distractor ablation,AnnSel,en,-2.8538981958762886,5.190718932408462
distractor ablation,AnnSel,fr,0.0,0.0
distractor ablation,AnnSel,de,-6.744905766752577,7.016121264404898
distractor ablation,AnnSel,es,-1.0062822164948453,4.717233529754941
distractor ablation,AnnSel,zh,-10.674296270940722,5.012809886333961
distractor ablation,AnnSel,ja,-12.40698493878866,5.537690655070027
distractor ablation,AnnSel,ko,-14.484843145940722,6.223652774401289
distractor ablation,FreqSel,en,-2.779317010309278,5.257649619878712
distractor ablation,FreqSel,fr,0.0,0.0
distractor ablation,FreqSel,de,-6.795968911082475,6.9907405446499284
distractor ablation,FreqSel,es,-1.6522229381443299,4.542479618596025
distractor ablation,FreqSel,zh,-10.685677754510309,5.060976104473018
distractor ablation,FreqSel,ja,-12.387765786082474,5.644731332380737
distractor ablation,FreqSel,ko,-14.507137967139176,6.179593023004495
distractor ablation,ValSel,en,-3.367751288659794,5.679228444173411
distractor ablation,ValSel,fr,0.0,0.0
distractor ablation,ValSel,de,-7.238502738402062,7.544283740577399
distractor ablation,ValSel,es,-0.9963756443298969,5.321861732316223
distractor ablation,ValSel,zh,-12.01123801949098,4.882237752174718
distractor ablation,ValSel,ja,-13.773901870570231,5.5795314499178925
distractor ablation,ValSel,ko,-15.21301898759665,6.224283012040362
ablation,AnnSel,en,-2.6886275773195876,5.458285303620768
ablation,AnnSel,fr,0.0,0.0
ablation,AnnSel,de,-6.784753543814433,7.032636525178693
ablation,AnnSel,es,-0.9998389175257731,4.705414170949128
ablation,AnnSel,zh,-10.50965488079897,5.25738415548786
ablation,AnnSel,ja,-12.190963273195877,5.740430003326655
ablation,AnnSel,ko,-14.363006906411082,6.311187584818293
ablation,FreqSel,en,-2.7963917525773194,5.2946690907438345
ablation,FreqSel,fr,0.0,0.0
ablation,FreqSel,de,-6.880658021907217,7.064266386140923
ablation,FreqSel,es,-1.6517396907216495,4.570913955462186
ablation,FreqSel,zh,-10.397511275773196,5.185709380704988
ablation,FreqSel,ja,-11.963716172680412,5.668210005127173
ablation,FreqSel,ko,-14.417281632570877,6.237178872925307
ablation,ValSel,en,-2.336501288659794,5.125956655076043
ablation,ValSel,fr,0.0,0.0
ablation,ValSel,de,-6.460675740979381,6.99541578519146
ablation,ValSel,es,-1.1121134020618557,4.6675192700641395
ablation,ValSel,zh,-10.296844797036082,5.051718169291937
ablation,ValSel,ja,-12.040310889175258,5.632520538012464
ablation,ValSel,ko,-14.024673304606958,6.157820611966948
distractor one-layer direction ablation,AnnSel,en,-2.886275773195876,5.274100432032686
distractor one-layer direction ablation,AnnSel,fr,0.0,0.0
distractor one-layer direction ablation,AnnSel,de,-6.777434358891752,7.276634183193611
distractor one-layer direction ablation,AnnSel,es,-0.5882731958762887,5.072715990084395
distractor one-layer direction ablation,AnnSel,zh,-10.74657699742268,5.086483169956424
distractor one-layer direction ablation,AnnSel,ja,-12.660659632731958,5.597927482004538
distractor one-layer direction ablation,AnnSel,ko,-14.872201192010309,6.472979668742819
distractor one-layer direction ablation,FreqSel,en,-2.860180412371134,5.15997851460147
distractor one-layer direction ablation,FreqSel,fr,0.0,0.0
distractor one-layer direction ablation,FreqSel,de,-6.801506121134021,7.242966766404264
distractor one-layer direction ablation,FreqSel,es,-0.5784471649484536,5.070479009137871
distractor one-layer direction ablation,FreqSel,zh,-10.583355775813466,5.010999413914734
distractor one-layer direction ablation,FreqSel,ja,-12.611806967823776,5.533123320694431
distractor one-layer direction ablation,FreqSel,ko,-14.82067619402384,6.427244960275514
distractor one-layer direction ablation,ValSel,en,-2.182692694909794,4.726393701014131
distractor one-layer direction ablation,ValSel,fr,0.0,0.0
distractor one-layer direction ablation,ValSel,de,-6.690263571198454,6.7244488126586335
distractor one-layer direction ablation,ValSel,es,-0.6265353173324743,4.793508890951605
distractor one-layer direction ablation,ValSel,zh,-8.525234576353093,4.436020621072888
distractor one-layer direction ablation,ValSel,ja,-10.456069788981958,5.009973959382009
distractor one-layer direction ablation,ValSel,ko,-12.533047076353093,5.712673399937273
one-layer direction ablation,AnnSel,en,-2.8938466494845363,5.307872687063858
one-layer direction ablation,AnnSel,fr,0.0,0.0
one-layer direction ablation,AnnSel,de,-6.839078608247423,7.277583357676919
one-layer direction ablation,AnnSel,es,-0.5681378865979382,5.133111844375053
one-layer direction ablation,AnnSel,zh,-10.476240335051546,4.941615089399396
one-layer direction ablation,AnnSel,ja,-12.406511759020619,5.5536483216725925
one-layer direction ablation,AnnSel,ko,-14.701258708521262,6.542586326714472
one-layer direction ablation,FreqSel,en,-2.2317171391752577,5.115613468629964
one-layer direction ablation,FreqSel,fr,0.0,0.0
one-layer direction ablation,FreqSel,de,-6.938693017074742,7.405963288218426
one-layer direction ablation,FreqSel,es,-0.7096689755154639,5.325447894388796
one-layer direction ablation,FreqSel,zh,-5.568701675257732,4.881255594970041
one-layer direction ablation,FreqSel,ja,-8.010540834407216,5.628798244300742
one-layer direction ablation,FreqSel,ko,-10.677701655122423,6.171628708052656
one-layer direction ablation,ValSel,en,-2.363845038659794,5.112168196679458
one-layer direction ablation,ValSel,fr,0.0,0.0
one-layer direction ablation,ValSel,de,-7.374496617268041,7.523790362595449
one-layer direction ablation,ValSel,es,-0.6541559278350515,5.024752385943922
one-layer direction ablation,ValSel,zh,-6.936533505154639,5.344923021713441
one-layer direction ablation,ValSel,ja,-9.675685607280927,5.924048164524249
one-layer direction ablation,ValSel,ko,-11.579778612274485,6.686365977985873
distractor multi-layer direction ablation,AnnSel,en,-3.324401319641428,4.938997783159754
distractor multi-layer direction ablation,AnnSel,fr,0.0,0.0
distractor multi-layer direction ablation,AnnSel,de,-6.862986350796886,6.405852847120907
distractor multi-layer direction ablation,AnnSel,es,-2.8355525449379204,5.315859431694085
distractor multi-layer direction ablation,AnnSel,zh,-11.406270401993977,4.738242544943208
distractor multi-layer direction ablation,AnnSel,ja,-12.826525969603628,5.098762348667953
distractor multi-layer direction ablation,AnnSel,ko,-14.594729270363592,5.89518229130097
distractor multi-layer direction ablation,FreqSel,en,-0.5193592776957247,6.489830483997272
distractor multi-layer direction ablation,FreqSel,fr,0.0,0.0
distractor multi-layer direction ablation,FreqSel,de,-4.448104434406634,7.64494806840768
distractor multi-layer direction ablation,FreqSel,es,-1.3886864246781339,6.5535631385612465
distractor multi-layer direction ablation,FreqSel,zh,-10.881508833354282,6.540342108747406
distractor multi-layer direction ablation,FreqSel,ja,-12.886636990861794,6.572343941834012
distractor multi-layer direction ablation,FreqSel,ko,-16.05116107936987,6.39363014400415
distractor multi-layer direction ablation,ValSel,en,1.2907309507586293,5.278549177804293
distractor multi-layer direction ablation,ValSel,fr,0.0,0.0
distractor multi-layer direction ablation,ValSel,de,-2.337770528400067,5.333732671923764
distractor multi-layer direction ablation,ValSel,es,-1.1427118360381765,4.394711261915989
distractor multi-layer direction ablation,ValSel,zh,-6.044341806283931,5.724833098269365
