Experiment,Method,Run,mean,stdev
original,AnnSel,en,-4.983072916666667,5.039179265920911
original,AnnSel,fr,-7.783296835542929,5.358082561126373
original,AnnSel,de,-5.45089814157197,6.295780728569038
original,AnnSel,es,-7.9902245107323235,5.654275978731917
original,AnnSel,zh,-7.442083185369318,4.8011817149475045
original,AnnSel,ja,-8.258433948863637,4.649085238651508
original,AnnSel,ko,0.0,0.0
original,FreqSel,en,-4.983072916666667,5.039179265920911
original,FreqSel,fr,-7.783296835542929,5.358082561126373
original,FreqSel,de,-5.45089814157197,6.295780728569038
original,FreqSel,es,-7.9902245107323235,5.654275978731917
original,FreqSel,zh,-7.442083185369318,4.8011817149475045
original,FreqSel,ja,-8.258433948863637,4.649085238651508
original,FreqSel,ko,0.0,0.0
original,ValSel,en,-4.983072916666667,5.039179265920911
original,ValSel,fr,-7.783296835542929,5.358082561126373
original,ValSel,de,-5.45089814157197,6.295780728569038
original,ValSel,es,-7.9902245107323235,5.654275978731917
original,ValSel,zh,-7.442083185369318,4.8011817149475045
original,ValSel,ja,-8.258433948863637,4.649085238651508
original,ValSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-5.436474116161616,4.901177027049638
distractor ablation,AnnSel,fr,-8.303858901515152,5.033216644261724
distractor ablation,AnnSel,de,-7.5556640625,4.9803500389920305
distractor ablation,AnnSel,es,-8.675051294191919,5.338653713579709
distractor ablation,AnnSel,zh,-8.093530520044192,4.686501937865491
distractor ablation,AnnSel,ja,-8.849278922032829,4.5588475153755805
distractor ablation,AnnSel,ko,0.0,0.0
distractor ablation,FreqSel,en,-5.40167297979798,4.934460773339989
distractor ablation,FreqSel,fr,-8.334714330808081,5.027830115285147
distractor ablation,FreqSel,de,-8.077178030303031,4.770759106471226
distractor ablation,FreqSel,es,-8.717230902777779,5.375536446440161
distractor ablation,FreqSel,zh,-8.108003866792929,4.699168525273134
distractor ablation,FreqSel,ja,-8.876119594381313,4.562999382477157
distractor ablation,FreqSel,ko,0.0,0.0
distractor ablation,ValSel,en,-7.572497435290404,5.160535554408836
distractor ablation,ValSel,fr,-9.477124763257576,4.541692525211908
distractor ablation,ValSel,de,-8.830275410353535,4.666231215205126
distractor ablation,ValSel,es,-9.858023595328282,4.958431304067471
distractor ablation,ValSel,zh,-10.176235006313131,5.195448731666718
distractor ablation,ValSel,ja,-10.383892637310606,4.817281061472917
distractor ablation,ValSel,ko,0.0,0.0
ablation,AnnSel,en,,
ablation,AnnSel,fr,,
ablation,AnnSel,de,,
ablation,AnnSel,es,,
ablation,AnnSel,zh,,
ablation,AnnSel,ja,,
ablation,AnnSel,ko,,
ablation,FreqSel,en,-5.31088226010101,4.941412772809336
ablation,FreqSel,fr,-8.278606376262626,5.012046124038384
ablation,FreqSel,de,-7.831587357954546,4.798979908769592
ablation,FreqSel,es,-8.67788727114899,5.395766459482294
ablation,FreqSel,zh,-7.928030303030303,4.853374432721703
ablation,FreqSel,ja,-8.78158538510101,4.571576899782216
ablation,FreqSel,ko,0.0,0.0
ablation,ValSel,en,-5.107752327967172,4.957572517324106
ablation,ValSel,fr,-7.974056976010101,5.068247828380728
ablation,ValSel,de,-7.360243055555555,4.9198248849353
ablation,ValSel,es,-8.329229797979798,5.363681262975984
ablation,ValSel,zh,-7.920148753156566,4.771917170438803
ablation,ValSel,ja,-8.821358112373737,4.513009228483821
ablation,ValSel,ko,0.0,0.0
distractor one-layer direction ablation,AnnSel,en,-4.964251893939394,5.059435792550321
distractor one-layer direction ablation,AnnSel,fr,-7.812016650883838,5.367166250835156
distractor one-layer direction ablation,AnnSel,de,-5.452432035195707,6.301830820401119
distractor one-layer direction ablation,AnnSel,es,-8.016670612373737,5.660627602978981
distractor one-layer direction ablation,AnnSel,zh,-7.419231376262626,4.809295074960869
distractor one-layer direction ablation,AnnSel,ja,-8.221625434027779,4.65942840704758
distractor one-layer direction ablation,AnnSel,ko,0.0,0.0
distractor one-layer direction ablation,FreqSel,en,-5.462042297979798,4.860671101576731
distractor one-layer direction ablation,FreqSel,fr,-8.424992108585858,5.284145909923491
distractor one-layer direction ablation,FreqSel,de,-6.16430910669192,6.10247262348429
distractor one-layer direction ablation,FreqSel,es,-8.634415443497474,5.618856595439449
distractor one-layer direction ablation,FreqSel,zh,-7.305259627525253,4.8403923305937715
distractor one-layer direction ablation,FreqSel,ja,-8.2443206478851,4.677566126721771
distractor one-layer direction ablation,FreqSel,ko,0.0,0.0
distractor one-layer direction ablation,ValSel,en,-5.2821044921875,4.20103538549233
distractor one-layer direction ablation,ValSel,fr,-7.826113922427399,4.438547913263723
distractor one-layer direction ablation,ValSel,de,-5.838772243923611,5.2005560947335505
distractor one-layer direction ablation,ValSel,es,-8.102124763257576,4.801406942683037
distractor one-layer direction ablation,ValSel,zh,-6.4910259824810606,4.217216285584495
distractor one-layer direction ablation,ValSel,ja,-7.233926175820707,4.010718091988372
distractor one-layer direction ablation,ValSel,ko,0.0,0.0
one-layer direction ablation,AnnSel,en,-4.980310921717172,5.068367137087807
one-layer direction ablation,AnnSel,fr,-7.91830413510101,5.383188370156754
one-layer direction ablation,AnnSel,de,-5.475151909722222,6.266029118076759
one-layer direction ablation,AnnSel,es,-8.12326388888889,5.651884008056147
one-layer direction ablation,AnnSel,zh,-7.255085029987374,4.7434037716375546
one-layer direction ablation,AnnSel,ja,-8.234789299242424,4.6246944103309655
one-layer direction ablation,AnnSel,ko,0.0,0.0
one-layer direction ablation,FreqSel,en,-4.830216224747475,4.065286552032103
one-layer direction ablation,FreqSel,fr,-7.943524601483586,4.573311178571372
one-layer direction ablation,FreqSel,de,-6.25952086785827,5.544023661862664
one-layer direction ablation,FreqSel,es,-8.193107836174242,4.819347462956904
one-layer direction ablation,FreqSel,zh,-5.8178809580176765,4.196045199439767
one-layer direction ablation,FreqSel,ja,-7.065227470012626,4.023719881999553
one-layer direction ablation,FreqSel,ko,0.0,0.0
one-layer direction ablation,ValSel,en,-5.442620787957702,4.9350915449677135
one-layer direction ablation,ValSel,fr,-8.265176175820708,5.415056327523109
one-layer direction ablation,ValSel,de,-6.114450165719697,6.166458517437883
one-layer direction ablation,ValSel,es,-8.512295809659092,5.7385040053691485
one-layer direction ablation,ValSel,zh,-7.1120827414772725,5.161562776924092
one-layer direction ablation,ValSel,ja,-7.874526515151516,4.726378656688516
one-layer direction ablation,ValSel,ko,0.0,0.0
distractor multi-layer direction ablation,AnnSel,en,-5.551397297117445,4.820872093710213
distractor multi-layer direction ablation,AnnSel,fr,-8.398785255774103,4.842688209307528
distractor multi-layer direction ablation,AnnSel,de,-7.346940101397158,4.295908311668939
distractor multi-layer direction ablation,AnnSel,es,-8.640342181981213,5.1276622946531
distractor multi-layer direction ablation,AnnSel,zh,-8.0250395458154,4.543492056178659
distractor multi-layer direction ablation,AnnSel,ja,-8.959895509059983,4.535905051445007
distractor multi-layer direction ablation,AnnSel,ko,0.0,0.0
distractor multi-layer direction ablation,FreqSel,en,-1.967584577473727,5.659198213755541
distractor multi-layer direction ablation,FreqSel,fr,-5.286059462662899,6.116973665786567
distractor multi-layer direction ablation,FreqSel,de,-6.4095184610347555,5.29147816487604
distractor multi-layer direction ablation,FreqSel,es,-5.117022293986696,5.676901307344629
distractor multi-layer direction ablation,FreqSel,zh,-3.836693723394413,5.58001579019534
distractor multi-layer direction ablation,FreqSel,ja,-5.289394177571691,5.585226072133389
distractor multi-layer direction ablation,FreqSel,ko,0.0,0.0
distractor multi-layer direction ablation,ValSel,en,-5.963701621450559,4.882185813499407
distractor multi-layer direction ablation,ValSel,fr,-9.909392141031496,4.883166836601339
distractor multi-layer direction ablation,ValSel,de,-11.104055302311675,4.891310141454121
distractor multi-layer direction ablation,ValSel,es,-10.33634077238314,5.487994488064222
distractor multi-layer direction ablation,ValSel,zh,-7.979688734719248,5.382138557201854
distractor multi-layer direction ablation,ValSel,ja,-8.927920035039536,5.157665446190907
distractor multi-layer direction ablation,ValSel,ko,0.0,0.0
multi-layer direction ablation,AnnSel,en,5.660623697319416,5.458335489875985
multi-layer direction ablation,AnnSel,fr,3.3584108713901406,6.590748157601051
multi-layer direction ablation,AnnSel,de,1.5356952475778984,5.356470686118484
multi-layer direction ablation,AnnSel,es,2.987638685438368,6.169739915922312
multi-layer direction ablation,AnnSel,zh,-1.87211135300723,5.193363036151994
multi-layer direction ablation,AnnSel,ja,-2.651112527558298,5.178274031241515
multi-layer direction ablation,AnnSel,ko,0.0,0.0
multi-layer direction ablation,FreqSel,en,1.6632411076564981,4.675890498331986
multi-layer direction ablation,FreqSel,fr,3.3795303377238186,5.672240038423967
multi-layer direction ablation,FreqSel,de,3.116546551687549,5.496307399769557
multi-layer direction ablation,FreqSel,es,4.033064595376603,5.85608759151423
multi-layer direction ablation,FreqSel,zh,-2.141157542816316,4.05302464305516
