Experiment,Method,Run,mean,stdev
original,AnnSel,en,3.4200994318181817,4.266498794969565
original,AnnSel,fr,-1.522332702020202,4.816141856364667
original,AnnSel,de,-2.7841500946969697,4.288376420622409
original,AnnSel,es,-1.873062287918245,4.485503091727073
original,AnnSel,zh,6.837994199810606,4.9852115608125125
original,AnnSel,ja,10.54620422979798,4.184120593887526
original,AnnSel,ko,0.0,0.0
original,FreqSel,en,3.4200994318181817,4.266498794969565
original,FreqSel,fr,-1.522332702020202,4.816141856364667
original,FreqSel,de,-2.7841500946969697,4.288376420622409
original,FreqSel,es,-1.873062287918245,4.485503091727073
original,FreqSel,zh,6.837994199810606,4.9852115608125125
original,FreqSel,ja,10.54620422979798,4.184120593887526
original,FreqSel,ko,0.0,0.0
original,ValSel,en,3.4200994318181817,4.266498794969565
original,ValSel,fr,-1.522332702020202,4.816141856364667
original,ValSel,de,-2.7841500946969697,4.288376420622409
original,ValSel,es,-1.873062287918245,4.485503091727073
original,ValSel,zh,6.837994199810606,4.9852115608125125
original,ValSel,ja,10.54620422979798,4.184120593887526
original,ValSel,ko,0.0,0.0
distractor ablation,AnnSel,en,3.124881628787879,4.273129266861844
distractor ablation,AnnSel,fr,-1.7442035097064394,4.843529883681666
distractor ablation,AnnSel,de,-3.0395853061868685,4.307728280083711
distractor ablation,AnnSel,es,-2.1016710069444446,4.536322527994492
distractor ablation,AnnSel,zh,6.1838724155618685,4.925700963949962
distractor ablation,AnnSel,ja,9.793915719696969,4.230770505861926
distractor ablation,AnnSel,ko,0.0,0.0
distractor ablation,FreqSel,en,0.42108585858585856,4.846303625404278
distractor ablation,FreqSel,fr,-4.226710464015151,5.2782319795148664
distractor ablation,FreqSel,de,-5.9331344450363,5.261811886363196
distractor ablation,FreqSel,es,-4.662457706952336,5.310337246820275
distractor ablation,FreqSel,zh,3.315419823232323,4.907676564741563
distractor ablation,FreqSel,ja,3.2167771464646466,5.279620848536549
distractor ablation,FreqSel,ko,0.0,0.0
distractor ablation,ValSel,en,0.04167653093434343,5.020446409565315
distractor ablation,ValSel,fr,-3.5867660984848486,5.12607762576825
distractor ablation,ValSel,de,-4.775794751716383,4.645054487650264
distractor ablation,ValSel,es,-3.928337328361742,4.791451678680433
distractor ablation,ValSel,zh,3.424923058712121,5.750561647431995
distractor ablation,ValSel,ja,6.3086036142676765,5.397218563727177
distractor ablation,ValSel,ko,0.0,0.0
ablation,AnnSel,en,,
ablation,AnnSel,fr,,
ablation,AnnSel,de,,
ablation,AnnSel,es,,
ablation,AnnSel,zh,,
ablation,AnnSel,ja,,
ablation,AnnSel,ko,,
ablation,FreqSel,en,0.8912563131313131,4.917020564814942
ablation,FreqSel,fr,-4.010835898042929,5.436355990678879
ablation,FreqSel,de,-5.630437677556818,5.428442845356436
ablation,FreqSel,es,-4.456612018623737,5.467899395605154
ablation,FreqSel,zh,3.1764717487373737,4.982787296656909
ablation,FreqSel,ja,3.21740845959596,5.2851521008669105
ablation,FreqSel,ko,0.0,0.0
ablation,ValSel,en,1.9321338383838385,4.488719913664684
ablation,ValSel,fr,-2.975241921164773,5.12146453446729
ablation,ValSel,de,-4.39657561947601,4.846375322815658
ablation,ValSel,es,-3.3234000157828283,4.879408490812547
ablation,ValSel,zh,4.757649739583333,5.0476103160397905
ablation,ValSel,ja,6.539457070707071,4.713959835231579
ablation,ValSel,ko,0.0,0.0
distractor one-layer direction ablation,AnnSel,en,3.294369476010101,4.183625189544823
distractor one-layer direction ablation,AnnSel,fr,-1.6250887784090908,4.836322402169697
distractor one-layer direction ablation,AnnSel,de,-2.8352864583333335,4.2856552483261625
distractor one-layer direction ablation,AnnSel,es,-1.9757191051136365,4.466036684696855
distractor one-layer direction ablation,AnnSel,zh,6.681265782828283,4.916920149990481
distractor one-layer direction ablation,AnnSel,ja,10.334773516414142,4.173334726453238
distractor one-layer direction ablation,AnnSel,ko,0.0,0.0
distractor one-layer direction ablation,FreqSel,en,3.847528014520202,4.029140859453024
distractor one-layer direction ablation,FreqSel,fr,-0.6053997001262627,4.779555822123403
distractor one-layer direction ablation,FreqSel,de,-1.7637458570075757,4.445985372215093
distractor one-layer direction ablation,FreqSel,es,-0.8286872632575758,4.263327884315164
distractor one-layer direction ablation,FreqSel,zh,6.976236979166667,4.842703614210639
distractor one-layer direction ablation,FreqSel,ja,8.677468039772727,4.207514118173766
distractor one-layer direction ablation,FreqSel,ko,0.0,0.0
distractor one-layer direction ablation,ValSel,en,3.008157749368687,3.6261472405078505
distractor one-layer direction ablation,ValSel,fr,-1.2354008838383839,4.192728700092605
distractor one-layer direction ablation,ValSel,de,-2.021469578598485,3.798455523428792
distractor one-layer direction ablation,ValSel,es,-1.4644047900883839,3.8856819895890222
distractor one-layer direction ablation,ValSel,zh,6.1052714646464645,4.330726488634647
distractor one-layer direction ablation,ValSel,ja,7.676900844381313,3.8063547555914408
distractor one-layer direction ablation,ValSel,ko,0.0,0.0
one-layer direction ablation,AnnSel,en,3.6424794823232323,4.216807106446104
one-layer direction ablation,AnnSel,fr,-1.4007703993055556,4.889810001404834
one-layer direction ablation,AnnSel,de,-2.564798374368687,4.344822320827388
