Experiment,Method,Run,mean,stdev
original,AnnSel,en,-5.108737244897959,5.737157241336528
original,AnnSel,fr,-1.3987563775510203,5.747786103446309
original,AnnSel,de,-9.461814413265307,6.7178278222113414
original,AnnSel,es,0.0,0.0
original,AnnSel,zh,-11.900171396683673,5.447156257786847
original,AnnSel,ja,-13.439911511479592,5.426398246910346
original,AnnSel,ko,-17.133924187446127,4.97955172547589
original,FreqSel,en,-5.108737244897959,5.737157241336528
original,FreqSel,fr,-1.3987563775510203,5.747786103446309
original,FreqSel,de,-9.461814413265307,6.7178278222113414
original,FreqSel,es,0.0,0.0
original,FreqSel,zh,-11.900171396683673,5.447156257786847
original,FreqSel,ja,-13.439911511479592,5.426398246910346
original,FreqSel,ko,-17.133924187446127,4.97955172547589
original,ValSel,en,-5.108737244897959,5.737157241336528
original,ValSel,fr,-1.3987563775510203,5.747786103446309
original,ValSel,de,-9.461814413265307,6.7178278222113414
original,ValSel,es,0.0,0.0
original,ValSel,zh,-11.900171396683673,5.447156257786847
original,ValSel,ja,-13.439911511479592,5.426398246910346
original,ValSel,ko,-17.133924187446127,4.97955172547589
distractor ablation,AnnSel,en,-5.607461734693878,5.548649693095679
distractor ablation,AnnSel,fr,-2.6136798469387754,5.263270987461783
distractor ablation,AnnSel,de,-10.016731106505102,6.5374998205522274
distractor ablation,AnnSel,es,0.0,0.0
distractor ablation,AnnSel,zh,-12.651506696428571,4.982987687686138
distractor ablation,AnnSel,ja,-14.289640465561224,5.046706685092534
distractor ablation,AnnSel,ko,-17.71025988520408,4.782782964712594
distractor ablation,FreqSel,en,-5.533801020408164,5.2716949291943855
distractor ablation,FreqSel,fr,-3.1246811224489797,5.145787563551552
distractor ablation,FreqSel,de,-9.96110690369898,6.411526554625559
distractor ablation,FreqSel,es,0.0,0.0
distractor ablation,FreqSel,zh,-12.508808992346939,4.796257236190992
distractor ablation,FreqSel,ja,-14.240371392697703,4.831436951859795
distractor ablation,FreqSel,ko,-17.564512914540817,4.695990673542297
distractor ablation,ValSel,en,-5.873405612244898,5.565582106220016
distractor ablation,ValSel,fr,-2.841358418367347,5.522814199619368
distractor ablation,ValSel,de,-10.463189572704081,6.6940509836292845
distractor ablation,ValSel,es,0.0,0.0
distractor ablation,ValSel,zh,-13.254484215561224,4.916733785579321
distractor ablation,ValSel,ja,-14.94366081393495,5.199940923326785
